MedInc,HouseAge,AveRooms,AveOccup,Latitude,Longitude,Price
6.243562,28,5.1,4,32.889897,-123.983562,411732.071058
14.310000,7,6.2,2,41.916961,-120.235850,897757.042908
11.247915,35,7.3,2,37.410029,-118.292385,668584.134344
9.381219,28,5.8,2,41.848457,-119.212951,615027.685530
3.184261,14,4.9,2,41.389964,-115.379239,335409.882746
8.750000,20,6.4,3,36.778259,-121.417931,550000.000000
5.900000,15,5.5,3,34.052235,-118.243683,420000.000000
10.800000,30,7.0,2.5,37.774929,-122.419418,720000.000000
4.500000,12,4.8,3.2,33.941589,-118.408530,310000.000000
7.200000,25,6.1,2.8,38.581573,-121.494400,480000.000000
